Africa n.非洲
acknowledged [ək'nɔlidʒd] adj.公认的
acknowledgement [ək'nɔlidʒmənt] n.承认,确认,感谢
acknowledgment [ək'nɔlidʒmənt] n.承认,承认书,感谢
aclinic [ei'klinik] adj.无倾角的,水平的
acme ['ækmi] n.顶点，极点
acne ['ækni] n.粉刺
acock [ə'kɔk] adv.边翻卷地,歪斜着
acold [ə'kəuld] adj.寒冷的
acolyte ['ækəlait] n.（教士的）助手，侍僧
aconite ['ækənait] n.乌头,从乌头的根提炼出的强心止痛剂
acorn ['eikɔ:n] n.[植]橡树果,橡子
acoustic [ə'ku:stik] adj.有关声音的,声学的,音响学的
acoustical [ə'ku:stikəl] adj.听觉的,声学的
acoustically [ə'ku:stikəli] adv.听觉上,声学上
acoustician [,æku:s'tiʃən] n.声学家
acoustics [ə'ku:stiks] n.声学
acquaint [ə'kweint] vt.使熟知,通知
acquaintance [ə'kweintəns] n.相识,熟人
acquaintanceship [ə'kweintnsʃip] n.相识,相熟
acquainted [ə'kweintid] adj.有知识的,知晓的
acquiesce [,ækwi'es] vi.默许,勉强同意
acquiescence [,ækwi'esəns] n.默许
acquiescent [,ækwi'esənt] adj.默许的,默从的
acquirable [ə'kwaiərəbl] adj.可得的,可获的
acquire [ə'kwaiə] vt.获得,学到
acquired [ə'kwaiəd] adj.后天习得的
acquirement [ə'kwaiəmənt] n.取得,习得
acquisition [,ækwi'ziʃən] n.获得,获得物
acquisitive [ə'kwizitiv] adj.贪得的，物欲重的
acquisitiveness [ə,kwi'zitivnis] 渴望得到
acquit [ə'kwit] vt.宣告无罪,脱卸义务和责任,还清(债务)
acquittal [ə'kwitl] n.宣判无罪
acquittance [ə'kwitəns] n.解除,偿清,清还证明书
acre ['eikə] n.英亩,地产,大片田地
acreage ['eikəridʒ] n.英亩数,面积
acrid ['ækrid] adj.辛辣的,(言语或语调)刻薄的
acridine ['ækridi:n] n.一种医药原料,吖啶,氮蒽
acridity [æ'kriditi] n.辛辣,狠毒
acriflavine [,ækri'fleivi:n] n.[药]吖啶黄(消毒灭菌剂)
acrimonious [,ækri'məunjəs] adj.尖刻的
acrimony ['ækriməni] n.言谈举止上的刻毒,讽刺,毒辣
acrobat ['ækrəbæt] n.(走钢丝的)杂技演员,随机应变者,翻云覆
acrobatic [,ækrə'bætik] adj.杂技的,特技的
acrobatically 杂技
acrobatics [,ækrə'bætiks] n.杂技
acrocarpous [,ækrə'kɑ:pəs] adj.[植]茎端结实的
acrodont adj.[解][动]边齿的,颌缘的
acrogen ['ækrədʒən] n.顶生植物
acrogenous adj.顶生的
acrolein [ə'krəuliin] n.[化]丙烯醛
acromegalic [,ækrəmi'gælik] adj.肢端肥大症患者的n.肢端肥大症患者
acromegaly [,ækrə'megəli] n.肢端肥大症
acronym ['ækrənim] n.只取首字母的缩写词
acropetal [ə'krɔpitəl] adj.[植]向顶的
acrophobia [,ækrə'fəubiə] n.[医]恐高症
acropolis [ə'krɔpəlis] n.古希腊城市的卫城,雅典的卫城
across [ə'krɔ:s] adv.横过,交叉地,在对面prep.越过,交叉
acrostic [ə'krɔstik] n.离合诗adj.离合诗的
acrylate n.[化]丙烯酸盐,丙烯酸脂
acrylic [æ'krilik] adj.[化]丙烯酸的
acrylonitrile n.[化]丙烯腈
act [ækt] n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作
actability 
actin ['æktin] n.肌动蛋白
acting ['æktiŋ] adj.代理的,起作用的,演戏的
actinia [æk'tiniə] n.[动]海葵
actinic [æk'tinik] adj.[物]光化学的,有光化性的
actinide ['æktinaid] n.[化]锕类
actinides [pl.]锕类锕系元素锕化物
actinism ['æktinizəm] n.[物]光化度,光化作用
actinium [æk'tiniəm] n.[化]锕
actinoid ['æktinɔid] adj.放射线状的
actinolite [æk'tinə,lait] n.[地]阳起石
actinometer [,ækti'nɔmitə] n.[摄](自记)暴光计,暴光表
actinomorphic [,æktinə'mɔ:fik] adj.放射状的,辐射对称的
actinomyces [,æktinəu'maisi:z] [单复同]n.[微]放线菌
actinomycete [,æktinəu'mai,si:t] n.放射菌类
actinomycin [,æktinəu'maisin] n.放射菌素
actinomycosis n.放射菌病
actinon n.[核]锕射气
actinouranium [,æktinəuju'reiniəm] n.[化]锕铀
actinozoan n.珊瑚虫,花形虫adj.珊瑚虫的
action ['ækʃən] n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉
actionable ['ækʃənəbl] adj.可控告的
activate ['ækti,veit] vt.刺激,使活动vi.有活力
activated ['æktiveitid] adj.有活性的
activation [,ækti'veiʃən] n.活化,激活,[化]活化作用
activator ['æktiveitə] n.[化]催化剂,触媒剂
active ['æktiv] adj.积极的,能起作用的,现行的,[语法]主动的,活动的,活跃的,活性的n.[语法]主动语态,积极分子
actively ['æktivli] adv.活跃地,积极地
activism ['æktivizəm] n.行动(第一)主义,激进主义,[哲]触动论
activist ['æktivist] n.激进主义分子,行动主义分子
activity [æk'tiviti] n.活跃,活动性,行动,行为,[核]放射性
actomyosin [,æktəu'maiəsin] n.[生化]肌动球蛋白,肌纤凝蛋白
actor ['æktə] n.男演员,行动者,参与者
actorish adj.不受演技优劣影响的(角色或剧本)
actress ['æktris] n.女演员
actual ['æktjuəl] adj.实际的,真实的,现行的,目前的
actuality [,æktʃu'æliti] n.实在,现状
actualization [,æktʃuəlai'zeiʃən] n.实现,现实化
actualize ['æktjuəlaiz] vt.实现,实施
actually ['æktjuəli] adv.实际上,事实上,竟然,居然,如今
actuarial [,æktju'ɛəriəl] adj.保险精算师的,保险精算的
actuary ['æktjuəri] n.保险精算师,保险(业务)计算员
actuate ['æktjueit] vt.开动,促使
actuator ['æktʃueitə] n.激励者
acuity [ə'kju:iti] n.尖锐,(疾病的)剧烈,(视力、才智等的)敏
aculeate [ə'kju:liit] adj.有刺的,一针见血的
acumen [ə'kju:men] n.敏锐,聪明
acuminate [ə'kju:mineit] adj.锐利的,尖形的vt.使尖锐
acupressure ['ækjupreʃə] n.针压(止血)法
acupuncture ['ækjupʌŋktʃə] n.针刺疗法v.施行针刺疗法
acupuncturist [,ækju'pʌŋktʃərist] n.针灸医生
acute [ə'kju:t] adj.敏锐的,[医]急性的,剧烈
acuteness [ə'kju:tnis] n.敏锐,剧烈
acyclic [ei'saiklik] adj.非循环的,[化]无环的,脂肪族的
acyl ['æsil] n.[化]酰基
ad n.广告[域]Andorra,安道尔abbr.[军]Ai
ad-lib [æd'lib] adj.即兴表演的
adage ['ædidʒ] n.格言,谚语
adagio [ə'dɑ:dʒiəu] adv.缓慢地adj.缓慢的n.[音乐]柔板
adamant ['ædəmənt] adj.坚硬的
adamantine [,ædə'mæntain] adj.非常坚硬的,坚定不移的n.[冶]金刚合
adapt [ə'dæpt] vt.使适应,改编
adapt...to 使适合，使适用
adaptability [ə,dæptə'biliti] n.适应性
adaptable [ə'dæptəbl] adj.能适应的,可修改的
adaptation [,ædæp'teiʃən] n.适应,改编,改写本
adapter [ə'dæptə] n.适配器,改编者
adaption [ə'dæpʃən] n.(=adaptation)适应,改编
adaptive [ə'dæptiv] adj.适应的
adaptor [ə'dæptə] n.<美>编剧者,改编者
adaxial [æd'æksiəl] adj.近轴的
add [æd] vt.增加,添加,计算...总和,补充说,又说
addax ['ædæks] n.[动]曲角羚羊(产于北非)
added ['ædid] adj.更多的,附加的,额外的
addend [ə'dend] n.[数]加数
addenda [ə'dendə] n.附录,附加物
addendum [ə'dendəm] n.补遗，附录(复：addenda)
adder ['ædə] n.[计]加法器,[动](欧洲产)蝰蛇(小毒蛇),
addible ['ædibl] adj.可添加的
addict [ə'dikt] vt.使沉溺,使上瘾n.入迷的人,有瘾的人
addicted [ə'diktid] adj.沉溺于某种嗜好中的
addiction [ə'dikʃən] n.沉溺,上瘾
addictive [ə'diktiv] adj.上瘾的
addition [ə'diʃən] n.加,加起来,增加物,增加,加法
additional [ə'diʃənəl] adj.另外的,附加的,额外的
additionally [ə'diʃənli] adv.加之,又
additive ['æditiv] adj.附加的,加成的,添加的n.添加剂adj.添加的,附加的,加法的
additivity n.添加,添加性
addle ['ædl] vt.使腐坏,使糊涂adj.腐坏的
addled ['ædld] adj.腐坏的,混乱的
addling 糊涂
address [ə'dres] n.地址,致辞,演讲,说话的技巧vt.向...
addressable [æ'dresəbl] adj.可设定地址的
addressee [,ædre'si:] n.受信人,收件人
addressing [ə'dres] 寻址,选择,选址
addressor [ə'dresə] n.说话者,发言人
adduce [ə'dju:s] v.给予（理由），举出（
adducent [ə'dju:snt] adj.[生理]内收的
adduct [ə'dʌkt] vt.[生理]使内收n.[化]加合物
adduction [ə'dʌkʃən] n.引用,[生理]内收
adenocarcinoma [,ædnəu,kɑ:sə'nəumə] n.[医]腺癌
adenoid ['ædinɔid] adj.[解剖]腺的,淋巴组织的
adenoids ['ædinɔidz] n.[医]腺状肿大,扁桃腺肥大
adenoma [,ædə'nəumə] n.[医]腺瘤
adenosine [ə'denəsi:n] n.[生化]腺苷
adept [ə'dept] adj.熟练的,拿手的n.老手,擅长者
adequacy ['ædikwəsi] n.适当,足够
adequate ['ædikwit] adj.适当的,足够的
adequately ['ædikwitli] adv.充分地
adhere [əd'hiə] vi.粘附,胶着,坚持v.坚持
adherence [əd'hiərəns] n.粘着,忠诚,坚持
adherent [əd'hiərənt] n.信徒,追随者,拥护者
adhesion [əd'hi:ʒən] n.支持
adhesive [əd'hi:siv] adj.带粘性的,胶粘n.粘合剂
adiabatic [,ædiə'bætik] adj.[物]绝热的,隔热的
adieu [ə'dju:] int.n.再见,再会
adios [,ɑdi'əus] int.再见,一路平安
adipose ['ædipəus] adj.脂肪的,肥胖的n.动物脂肪
adiposity [,ædi'pɔsiti] n.肥胖,肥胖症,肥胖倾向
adit ['ædit] n.入口,[矿]横坑,进入
adjacency [ə'dʒeisnsi] n.邻接
adjacent [ə'dʒeisnt] adj.邻近的,接近的
adjectival [,ædʒik'taivəl] adj.形容词的
adjective ['ædʒiktiv] n.形容词
adjoin [ə'dʒɔin] v.邻接,毗连
adjoining [ə'dʒɔiniŋ] adj.邻接的,隔壁的
adjourn [ə'dʒə:n] vi.延期,休会,换另一个地方vt.使中止,推迟
adjournment [ə'dʒə:nmənt] n.休会,延期
adjudge [ə'dʒʌdʒ] vt.宣判,判决,把...判给,认为
adjudicate [ə'dʒu:dikeit] v.判决,宣判,裁定
adjudication [ə,dʒu:di'keiʃən] n.判决,(法院的)宣告
adjudicative [ə'dʒu:dikeitiv] adj.有判决权的,(法院)宣告的
adjudicator [ə'dʒju:dikeitə] n.判决者,裁定者
adjunct ['ædʒʌŋkt] n.附件,助手adj.附属的
adjunction [ə'dʒʌŋkʃən] n.添加,附加,附加物
adjunctive [ə'dʒʌŋktiv] adj.附属的,附加的
adjuration [,ædʒuə'reiʃən] n.恳请,请愿
adjuratory [ə'dʒuərətəri] adj.誓言的,恳求的
adjure [ə'dʒuə] vt.起誓,恳请,(以起誓或诅咒等形式)命令
adjust [ə'dʒʌst] vt.调整,调节,校准,使适合
adjustability [ə,dʒʌstə'biliti] n.适应性
adjustable [ə'dʒʌstəbl] adj.可调整的
adjustment [ə'dʒʌstmənt] n.调整,调节,调节器
adjutancy ['ædʒutənsi] n.副官职
adjutant ['ædʒutənt] n.（军队的）副官，助手
adjuvant ['ædʒuvənt] adj.辅佐的n.助理员
adman ['æd,mæn] n.广告部门职员,拉广告者
admeasure [æd'meʒə] vt.分配,配给
admeasurement [æd'meʒəmənt] n.分配,配给
administer [əd'ministə] v.管理,给予,执行
administrate [əd'ministreit] vt.管理,支配
administration [əd,mini'streiʃən] n.管理,经营,行政部门
administrative [əd'ministrətiv] adj.管理的,行政的
administrator [əd'ministreitə] n.管理人,行政官
admirable ['ædmərəbl] adj.令人倾佩的,值的赞美的,绝妙的,极好的
admirably ['ædmərəbli] adv.极好地,美好地
admiral ['ædmərəl] n.海军上将,舰队司令,旗舰
admiralty ['ædmərəlti] n.海军上将职位,舰队司令职位
admiration [,ædmə'reiʃən] n.钦佩,赞美,羡慕
admire [əd'maiə] v.赞美,钦佩,羡慕
admirer [əd'maiərə] n.景慕者,赞赏者,敬慕者
admiring [əd'maiəriŋ] adj.赞赏的,钦佩的
admiringly [əd'mairiŋli] adv.钦佩地,羡慕地
admissibility [əd,misə'biliti] n.可容许,有入场的资格
admissible [əd'misəbl] adj.可容许的,可接纳的
admission [əd'miʃən] n.允许进入,承认某事之陈述,供认
admissive [əd'misiv] adj.容许的
admit [əd'mit] v.容许,承认,接纳
admittance [əd'mitəns] n.入场权,准入
admittedly [əd'mitidli] adv.公认地,诚然,无可否认的
admix [æd'miks] vt.使混合vi.混合
admixture [æd'mikstʃə] n.混合,混合物
admonish [əd'mɔniʃ] vt.劝告,训诫,警告
admonishment [əd'mɔniʃmənt] n.(admonition)警告
admonition [,ædmə'niʃən] n.警告
admonitory [əd'mɔnitəri] adj.警告的
adnate ['ædneit] adj.[生物]贴生的,联生的,并生的
adnexa [复]n.[解](器官的)附件(如眼睛的眼睑和泪
ado [ə'du:] n.纷扰,忙乱abbr.[军]AdvancedDevelopmentObjective,高级发展目标
adobe [ə'dəubi] n.砖坯,土砖美国Adobe公司,是著名的图形
adolescence [,ædəu'lesns] n.青春期(一般指成年以前由13至15的发育期)
adolescent [,ædə'lesnt] adj.青春期的,青春的n.青少年
adopt [ə'dɔpt] vt.采用,收养
adoptability [ə,dɔptə'biliti] n.采纳性
adoptable [ə'dɔptəbl] adj.可采用的,可收养的
adoption [ə'dɔpʃən] n.采用,收养
adoptionism n.[宗]相信耶稣是上帝义子的学说,嗣子说
adoptive [ə'dɔptiv] adj.收养关系的,采用的
adorable [ə'dɔ:rəbl] adj.可崇拜的,可爱的
adorably [ə'dɔ:rəbli] adv.崇拜
adoration [,ædə'reiʃən] n.崇拜,爱慕,受崇拜(或爱慕)的对象
adore [ə'dɔ:] v.崇拜,爱慕,(口语)喜爱
adoring [ə'dɔ:riŋ] adj.崇拜的,敬慕的
adorn [ə'dɔ:n] v.装饰
adorned 装饰
adornment [ə'dɔ:nmənt] n.装饰,装饰品
adown [ə'daun] adv.prep.向下,朝下
adrenal [æd'ri:nəl] adj.肾上腺的n.肾上腺
adrenalin [ə'drenəlin] n.[生化]肾上腺素
adrenergic [,ædrə'nə:dʒik] adj.[生化]肾上腺素的,释放肾上腺素的
adrenocortical [ə,dri:nəu'kɔ:tikəl] adj.[解]肾上腺皮质的
adrift [ə'drift] adv.漂浮着,随波逐流地adj.漂泊的
adroit [ə'drɔit] adj.熟练的,机捷的
adroitly [ə'drɔitli] adv.熟练地,敏捷地
adroitness [ə'drɔitnis] 灵巧
adscititious [,ædsi'tiʃəs] adj.外加的,补充的
adscript ['ædskript] adj.(字母等)后写的,(农奴)附属土地的
adsorb [æd'sɔ:b] vt.吸附vi.被吸附
adsorbate [æd'sɔ:beit] n.被吸附物
adsorbent [æd'sɔ:bənt] adj.吸附的n.吸附剂
adsorption [æd'sɔ:pʃən] n.吸附
adularia [,ædju'lɛəriə] n.[矿]冰长石,月长石
adulate ['ædʒuleit] v.谄媚，奉承
adulation [,ædʒu'leiʃən] n.奉承,阿谀
adulatory ['ædʒuleitəri] adj.奉承的
adult [ə'dʌlt] n.成人,成年人adj.成人的,成熟的
adulterant [ə'dʌltərənt] adj.掺杂用的n.掺杂物
adulterate [ə'dʌltəreit] vt.掺杂adj.掺假的,通奸的
adulterated adj.掺入次级品的
adulteration [ə,dʌltə'reiʃən] n.掺杂,掺假货
adulteress [ə'dʌltəris] n.奸妇
adulterine [ə'dʌltərin] adj.不正当的n.私生子
adulterous [ə'dʌltərəs] adj.通奸的,不贞的
adultery [ə'dʌltəri] n.通奸,通奸行为
adulthood [ə'dʌlthud] n.成人期
adumbral [æd'ʌmbrəl] adj.遮阳的,成荫的
adumbrate ['ædʌmbreit] vt.画轮廓,预示
adumbration [,ædʌm'breiʃən] n.预兆
adust [ə'dʌst] adj.烧焦的,烤干的,阴沉的
advance [əd'vɑ:ns] n.前进,提升,预付款v.前进,提前,预付
advanced [əd'vɑ:nst] adj.高级的,年老的,先进的
advancement [əd'vɑ:nsmənt] n.前进,进步
advantage [əd'vɑ:ntidʒ] n.优势,有利条件,利益
advantageous [,ædvən'teidʒəs] adj.有利的
advection [æd'vekʃən] n.水平对流
advent ['ædvənt] n.(尤指不寻常的人或事)出现,到来
adventitia [,ædvən'tiʃiə] n.[解]外膜,动脉外膜
adventitious [,ædven'tiʃəs] adj.偶然的,外来的
adventive [æd'ventiv] n.外来的动物或植物adj.外来的,非本土的,
adventure [əd'ventʃə] n.冒险,冒险的经历v.冒险
adventurer [əd'ventʃərə] n.冒险家
adventuresome [əd'ventʃəsəm] adj.冒险性的
adventuress [əd'ventʃəris] n.用不正当手段谋求名利(或地位)的女人,女
adventurism [əd'ventʃərizm] n.(外交,政治等方面的)冒险主义
adventurist [əd'ventʃərist] n.冒险主义者
adventurous [əd'ventʃərəs] adj.喜欢冒险的,敢做敢为的,充满危险的
adverb ['ædvə:b] n.副词
adverbial [əd'və:biəl] adj.副词的,状语的n.状语
adversarial [,ædvə'sɛəriəl] adj.敌手的,对手的,对抗(性)的
adversary ['ædvə,səri] n.敌手,对手
adversative [əd'və:sətiv] adj.意义相反(或对照)的n.反意语
adverse ['ædvə:s] adj.不利的,敌对的,相反的
adversity [əd'və:siti] n.不幸,灾祸,逆境
advert [əd'və:t] vi.注意,留意n.广告
advertence [əd'və:təns] n.注意,留意
advertency [əd'və:tənsi] n.注意,谈及
advertent [əd'və:tənt] adj.注意的,留意的
advertise ['ædvətaiz] v.做广告,登广告
advertisement [əd'və:tismənt] n.广告,做广告
advertiser ['ædvə,taizə] n.登广告者,广告客户
advertising ['ædvə,taiziŋ] n.广告业,广告adj.广告的
advertize ['ædvətaiz] vt.做广告,通知vi.做广告
advertizing n.广告业,广告adj.广告的
advice [əd'vais] n.忠告,建议,[商]通知
advisability [əd,vaizə'biliti] n.明智
advisable [əd'vaizəbl] adj.可取的,明智的
advise [əd'vaiz] vt.劝告,忠告,警告,建议
advised [əd'vaizd] adj.考虑过的,细想过的
advisedly [əd'vaizidli] adv.经过考虑地,故意地
advisement [əd'vaizmənt] n.深思熟虑,劝告,考虑
adviser [əd'vaizə] n.顾问；指导教师
advisor [əd'vaizə] n.顾问,<美>(学生的)指导老师
advisory [əd'vaizəri] adj.顾问的,咨询的,劝告的
advocacy ['ædvəkəsi] n.拥护,鼓吹,辩护,辩护术
advocate ['ædvəkit] n.提倡者,鼓吹者vt.提倡,鼓吹
advowson [əd'vauzən] n.(英国法律)受俸牧师推荐权
adynamia [,ædi'neimiə] n.[医]体力缺乏,无力
adynamic [,ædai'næmik] adj.衰弱的
adytum ['æditəm] n.内殿,内院,密室
adz [ædz] n.扁斧,锛子
aedes [ei'i:di:z] n.[昆虫]伊蚊(一种传染黄热病的蚊子)
aedile ['i:dail] n.古罗马掌管公共建筑物、道路、供水、社会
aegis ['i:dʒis] n.[希神]羊皮盾,保护,庇护,支持
aeolotropic [,i:ələ'trɔpik] adj.[物]各向异性的,有方向性的
aeon ['i:ən] n.千万年，永久
aeonian [i:'əuniən] adj.永久的
aer 气压单位
aerate ['eiəreit] vt.使暴露于空气中,使充满气体
aeration [,eiə'reiʃən] n.通风
aerator ['eiəreitə] n.通风装置
aerial ['ɛəriəl] adj.航空的,生活在空气中的,空气的,高耸的n.天线
aerialist ['ɛəriəlist] n.高空杂技师
aerie ['ɛəri] n.猛禽的窝,高处的房子或城堡
aeriferous adj.装气的,送气的
aerification [,ɛərifi'keiʃn] n.与空气化合,气化
aeriform ['ɛərifɔ:m] adj.气体的,无形的
aerify ['ɛərifai] vt.在...注入空气,掺气于,使气化,使蒸发
aero adj.航空的,飞行的,飞机的
aeroballistics [,ɛərəubə'listiks] n.航空弹道学,空气弹道学
aerobatic [,ɛərə'bætik] adj.特技飞行的
aerobatics [ɛərəu'bætiks] n.特技飞行,特技飞行术
aerobe ['ɛərəub] n.[微]需氧菌
aerobic [ɛə'rɔbik] adj.依靠氧气的,与需氧菌有关的,增氧健身
aerobics [ɛə'rəubiks] n.有氧运动法,增氧健身法(指跑步,优越等增强心肺循环功能的运动)
aerobiosis [,ɛərəbai'əusis] n.[生]好氧生活
aerodrome ['ɛərə,drəum] n.飞机场,机场
aerodynamic ['ɛərədai'næmik] adj.空气动力学的
aerodynamicist n.空气动力学者,气体力学者
aerodynamics ['ɛərəudai'næmiks] n.空气动力学,气体力学
aerodyne ['ɛərədain] n.重航空器,重飞行器
